Date,Open,High,Low,Close,Adj Close,Volume
2019-04-16,799.000000,804.700012,795.150024,798.099976,713.000671,1868910
2019-04-18,804.000000,809.000000,798.099976,800.349976,715.010803,6307643
2019-04-22,800.700012,810.799988,798.799988,805.349976,719.477661,1833972
2019-04-23,806.500000,807.950012,800.049988,804.950012,719.120239,1214892
2019-04-24,807.000000,820.000000,806.000000,818.750000,731.448792,2710117
2019-04-25,820.000000,827.000000,813.450012,816.500000,729.438782,5447101
2019-04-26,816.500000,826.849976,816.500000,823.250000,735.468933,1996703
2019-04-30,825.950012,838.000000,823.099976,836.099976,746.948792,2783771
2019-05-02,834.900024,846.500000,829.099976,837.000000,747.752869,3241791
2019-05-03,830.000000,834.450012,813.000000,817.400024,730.242859,2329144
2019-05-06,810.000000,825.500000,810.000000,820.150024,732.699524,1247845
2019-05-07,822.000000,824.299988,809.700012,814.650024,727.786011,1810222
2019-05-08,813.000000,814.099976,799.599976,802.299988,716.752869,1270071
2019-05-09,801.000000,814.750000,799.200012,809.650024,723.319153,2024710
2019-05-10,810.400024,813.400024,800.400024,808.400024,722.202454,1429055
2019-05-13,811.599976,825.700012,809.200012,817.299988,730.153381,3719275
2019-05-14,818.799988,818.799988,786.599976,790.049988,705.809021,2701861
2019-05-15,791.000000,798.400024,785.549988,790.299988,706.032349,1662095
2019-05-16,788.650024,794.750000,781.349976,789.349976,705.183533,1233818
2019-05-17,793.000000,793.000000,776.549988,784.849976,701.163452,1608854
2019-05-20,790.000000,790.000000,763.000000,779.349976,696.249878,3754370
2019-05-21,780.000000,784.799988,768.099976,773.049988,690.621704,1669926
2019-05-22,758.000000,767.349976,744.200012,749.950012,669.984802,5888740
2019-05-23,760.000000,761.349976,740.549988,743.299988,664.043884,3764857
2019-05-24,749.900024,749.900024,732.049988,735.849976,657.388245,3591853
2019-05-27,737.000000,738.000000,719.500000,726.049988,648.633118,3672605
2019-05-28,727.000000,746.750000,727.000000,737.150024,658.549683,5583587
2019-05-29,736.950012,748.250000,733.650024,738.849976,660.068420,2058402
2019-05-30,741.500000,746.000000,732.950012,735.000000,656.628784,3367426
2019-05-31,740.000000,763.799988,738.150024,760.349976,679.275818,5503111
2019-06-03,763.900024,763.900024,749.000000,757.599976,676.818909,2826290
2019-06-04,756.299988,762.700012,746.799988,748.299988,668.510681,2332547
